,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Busselton,AU,66.58,clear sky,-33.65,115.3333,Observatory Guest House
4,Ushuaia,AR,60.46,moderate rain,-54.8,-68.3,Albatross Hotel
5,Saint George,US,45.95,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
7,Tura,IN,57.76,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
10,Behbahan,IR,54.32,clear sky,30.5959,50.2417,فروشگاه ابوعلی
18,Lagoa,PT,59.31,overcast clouds,39.05,-27.9833,Casa Das Faias
19,Punta Arenas,CL,59.11,few clouds,-53.15,-70.9167,Hotel Hain
20,Matay,EG,56.25,clear sky,28.419,30.7792,الحاج سلطان
22,Mataura,NZ,62.64,broken clouds,-46.1927,168.8643,Ellie's Villa
27,Vila Franca Do Campo,PT,59.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
36,Bluff,NZ,55.74,broken clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
45,Linqiong,CN,42.62,broken clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
46,Lasa,IT,32.36,light snow,46.6166,10.7002,Pension Feldgärtenhof
47,Najran,SA,59.65,clear sky,17.4924,44.1277,محمد هادي ال فطيح
50,Castro,BR,63.72,broken clouds,-24.7911,-50.0119,CHACARA BAILLY
52,Ribeira Grande,PT,61.77,broken clouds,38.5167,-28.7,Quinta da Meia Eira
60,Esperance,AU,67.21,clear sky,-33.8667,121.9,Hospitality Esperance
61,Hobart,AU,68.05,few clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
62,Bredasdorp,ZA,64.44,clear sky,-34.5322,20.0403,Wheatlands Lodge - Bredasdorp
66,Kaitangata,NZ,60.39,scattered clouds,-46.2817,169.8464,Kaitangata Motor Camp
67,Katsuura,JP,44.29,light rain,35.1333,140.3,Katsuura Hotel Mikazuki
68,Netrakona,BD,59.22,broken clouds,24.8833,90.7167,সিয়াম ছাত্রাবাস
71,Torbay,CA,36.27,overcast clouds,47.6666,-52.7314,Gallows Cove
73,Bethel,US,35.89,mist,41.3712,-73.414,Courtyard by Marriott Danbury
74,Cape Town,ZA,68.09,few clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
78,Warrington,GB,42.62,broken clouds,53.3925,-2.5802,Villaggio Hotel
81,Tsnori,GE,33.06,clear sky,41.6209,45.9694,Kabadoni
84,Port Lincoln,AU,66.42,few clouds,-34.7333,135.8667,Port Lincoln Hotel
85,Minas De Barroteran,MX,58.41,overcast clouds,27.6333,-101.2833,Motel Venecia
87,New Norfolk,AU,67.71,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
88,Lexington Park,US,46.72,broken clouds,38.2668,-76.4538,TownePlace Suites by Marriott Lexington Park Patuxent River Naval Air Station
89,Coquimbo,CL,69.53,few clouds,-29.9533,-71.3436,Hotel San Juan
90,Mehamn,NO,31.95,shower snow,71.0357,27.8492,Mehamn Arctic Hotel AS
98,Poprad,SK,32.31,overcast clouds,49.0614,20.298,Hotel SATEL
105,San Patricio,US,62.83,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
110,Jamestown,US,33.39,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
111,Russell,US,56.48,clear sky,32.3502,-85.1999,Macs
112,Puerto Del Rosario,ES,64.15,broken clouds,28.5004,-13.8627,Hotel JM Puerto del Rosario
113,Erzin,TR,51.85,clear sky,36.9559,36.2,Artemis Otel
115,North Bend,US,52.16,scattered clouds,43.4065,-124.2243,Red Lion Hotel Coos Bay
117,Saldanha,ZA,64.45,clear sky,-33.0117,17.9442,Blue Bay Lodge
120,Ventspils,LV,31.93,overcast clouds,57.3894,21.5606,Jūras brīze
122,Victoria,HK,59.25,overcast clouds,22.2855,114.1577,Mini Central
123,Portland,US,50.99,broken clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
129,Guerrero Negro,MX,60.31,broken clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
132,Saint-Francois,FR,35.04,light snow,46.4154,3.9054,Manoir Du Bonheur
134,Havelock,US,53.55,few clouds,34.8791,-76.9013,Sherwood Motel
138,Lompoc,US,63.84,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
141,Hermanus,ZA,65.8,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
142,Olafsvik,IS,32.59,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
143,Eureka,US,57.67,clear sky,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
145,Wanning,CN,65.34,overcast clouds,18.8003,110.3967,Paradise Hotel
147,Ponta Delgada,PT,59.72,broken clouds,37.7333,-25.6667,Vila Nova Hotel
148,Griffith,US,32.31,clear sky,41.5284,-87.4237,Terrence Tompkins
149,Elat,IL,58.84,clear sky,29.5581,34.9482,Club Hotel Eilat
150,Vacaria,BR,64.71,broken clouds,-28.5122,-50.9339,Pampa Hotel
151,Faya,SA,51.91,clear sky,18.3851,42.4509,شيلة نسايم
155,Viseu,PT,35.85,clear sky,40.661,-7.9097,Montebelo Viseu Congress Hotel
156,Oppdal,NO,31.28,light snow,62.5943,9.6912,Quality Hotel Skifer
158,Oyama,JP,41.59,overcast clouds,36.3,139.8,Toyoko Inn Oyama-eki Higashi-guchi No.1
161,Mar Del Plata,AR,69.82,clear sky,-38.0023,-57.5575,Gran Hotel Mar del Plata
162,Nishihara,JP,61.88,light intensity shower rain,26.1842,127.7558,Minshuku Agaihama
164,Zaozerne,UA,36.45,scattered clouds,45.1582,33.2787,"Molodozhnyy Lager' ""Pioner"""
166,Isiro,CD,67.55,overcast clouds,2.7739,27.616,Guest House Hewa Bora
168,Fortuna,US,56.93,clear sky,40.5982,-124.1573,Super 8 Fortuna
169,Felanitx,ES,43.14,overcast clouds,39.4696,3.1483,Petit Hotel Hostatgeria Sant Salvador
173,Brigantine,US,41.04,broken clouds,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
174,Rantoul,US,33.98,clear sky,40.3084,-88.1559,First Heritage Inn
175,Gat,IL,61.39,clear sky,31.61,34.7642,OlusHome
176,Mount Gambier,AU,66.56,overcast clouds,-37.8333,140.7667,The Commodore
179,Lake City,US,58.86,clear sky,30.1897,-82.6393,"Holiday Inn & Suites Lake City, an IHG Hotel"
196,Qingyuan,CN,53.58,overcast clouds,23.7,113.0333,Guojin Commercial Hotel
199,Edson,CA,41.14,overcast clouds,53.5835,-116.4356,"Holiday Inn Express & Suites Edson, an IHG Hotel"
201,Nanortalik,GL,30.38,overcast clouds,60.1432,-45.2371,Hotel Kap Farvel
202,Anapskaya,RU,30.43,clear sky,44.89,37.38,Continent Hotel
206,Karoi,ZW,61.92,light rain,-16.8099,29.6925,Chikangwe Guest houses
213,Hasaki,JP,38.21,light rain,35.7333,140.8333,Inubosaki Kanko Hotel
224,Bulawayo,ZW,62.71,overcast clouds,-20.15,28.5833,4 On Housman Backpackers
225,Chuy,UY,68.7,clear sky,-33.6971,-53.4616,Nuevo Hotel Plaza
231,Gunjur,GM,69.42,broken clouds,13.2019,-16.7339,Jallo Kurundingoto Eco Tourist Camp
233,Great Yarmouth,GB,39.02,scattered clouds,52.6083,1.7305,Comfort Hotel Great Yarmouth
234,Kodiak,US,38.05,overcast clouds,57.79,-152.4072,Best Western Kodiak Inn
235,Gillette,US,33.03,scattered clouds,44.2911,-105.5022,National 9 Inn - Gillette WY
