City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Nikolskoye,RU,59.7035,30.7861,19.78,96,63,6.22,broken clouds
1,Tasiilaq,GL,65.6145,-37.6368,16.5,67,100,6.58,overcast clouds
2,Chokurdakh,RU,70.6333,147.9167,-28.37,100,97,2.91,overcast clouds
3,Busselton,AU,-33.65,115.3333,66.58,76,0,17.25,clear sky
4,Ushuaia,AR,-54.8,-68.3,60.46,55,75,5.75,moderate rain
5,Saint George,US,37.1041,-113.5841,45.95,35,0,8.05,clear sky
6,Puerto Ayora,EC,-0.7393,-90.3518,80.56,93,55,8.99,broken clouds
7,Tura,IN,25.5198,90.2201,57.76,57,67,3.33,broken clouds
8,Saskylakh,RU,71.9167,114.0833,-6.43,79,100,3.62,overcast clouds
9,Avarua,CK,-21.2078,-159.775,82.45,74,40,5.75,light rain
10,Behbahan,IR,30.5959,50.2417,54.32,57,0,2.98,clear sky
11,Lavrentiya,RU,65.5833,-171.0,-15.3,94,53,11.83,broken clouds
12,Anadyr,RU,64.75,177.4833,-3.5,59,0,6.71,clear sky
13,Fairbanks,US,64.8378,-147.7164,-6.39,78,100,0.0,light snow
14,Poum,NC,-20.2333,164.0167,80.74,79,54,6.02,broken clouds
15,Maceio,BR,-9.6658,-35.7353,78.24,88,20,4.61,few clouds
16,Mahebourg,MU,-20.4081,57.7,75.25,88,75,3.44,broken clouds
17,Khatanga,RU,71.9667,102.5,-42.43,95,52,6.76,broken clouds
18,Lagoa,PT,39.05,-27.9833,59.31,78,95,28.95,overcast clouds
19,Punta Arenas,CL,-53.15,-70.9167,59.11,41,20,27.63,few clouds
20,Matay,EG,28.419,30.7792,56.25,82,0,10.13,clear sky
21,Bengkulu,ID,-3.8004,102.2655,73.62,91,100,3.47,overcast clouds
22,Mataura,NZ,-46.1927,168.8643,62.64,45,66,0.6,broken clouds
23,The Valley,AI,18.217,-63.0578,78.94,69,75,12.66,broken clouds
24,Kapaa,US,22.0752,-159.319,80.1,71,3,5.01,light rain
25,Georgetown,MY,5.4112,100.3354,78.73,94,20,2.3,few clouds
26,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,87,100,6.4,moderate rain
27,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,80,97,13.02,overcast clouds
28,Ilulissat,GL,69.2167,-51.1,14.27,95,100,5.99,light snow
29,Hanna,CA,51.6334,-111.9018,29.86,78,89,8.99,overcast clouds
30,Albany,US,42.6001,-73.9662,32.52,85,100,10.0,light snow
31,College,US,64.8569,-147.8028,-6.41,78,100,0.0,light snow
32,Port Elizabeth,ZA,-33.918,25.5701,74.32,87,0,23.02,clear sky
33,Paamiut,GL,61.994,-49.6678,22.75,83,100,15.03,overcast clouds
34,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,-3.23,78,0,6.71,clear sky
35,Manta,EC,-0.95,-80.7333,82.18,65,20,5.75,few clouds
36,Bluff,NZ,-46.6,168.3333,55.74,56,62,4.32,broken clouds
37,Isangel,VU,-19.55,169.2667,85.41,71,65,7.4,broken clouds
38,Imbituba,BR,-28.24,-48.6703,74.86,89,46,1.41,light rain
39,Karratha,AU,-20.7377,116.8463,82.96,69,31,12.64,scattered clouds
40,Severo-Kurilsk,RU,50.6789,156.125,19.74,70,90,26.22,overcast clouds
41,Fougamou,GA,-1.2154,10.5838,74.14,95,57,2.3,broken clouds
42,Lorengau,PG,-2.0226,147.2712,79.47,83,100,5.5,overcast clouds
43,Huarmey,PE,-10.0681,-78.1522,73.2,74,30,8.81,scattered clouds
44,Honiara,SB,-9.4333,159.95,80.24,82,93,4.07,overcast clouds
45,Linqiong,CN,30.4159,103.4609,42.62,46,79,1.9,broken clouds
46,Lasa,IT,46.6166,10.7002,32.36,95,91,3.15,light snow
47,Najran,SA,17.4924,44.1277,59.65,32,1,2.64,clear sky
48,Bambous Virieux,MU,-20.3428,57.7575,75.22,88,75,3.44,broken clouds
49,Barrow,US,71.2906,-156.7887,-5.78,77,75,17.27,light snow
50,Castro,BR,-24.7911,-50.0119,63.72,88,62,3.4,broken clouds
51,Namibe,AO,-15.1961,12.1522,73.44,85,99,2.77,overcast clouds
52,Ribeira Grande,PT,38.5167,-28.7,61.77,88,75,23.02,broken clouds
53,Tsumeb,NA,-19.2333,17.7167,69.15,76,99,12.1,overcast clouds
54,Port Alfred,ZA,-33.5906,26.891,75.18,86,31,3.0,scattered clouds
55,Huaibei,CN,33.9744,116.7917,21.22,32,39,17.54,scattered clouds
56,Atuona,PF,-9.8,-139.0333,78.71,78,16,17.87,few clouds
57,Qaanaaq,GL,77.484,-69.3632,-14.87,62,46,6.06,scattered clouds
